SIREN,NIC,L1_NORMALISEE,L2_NORMALISEE,L3_NORMALISEE,L4_NORMALISEE,L5_NORMALISEE,L6_NORMALISEE,L7_NORMALISEE,L1_DECLAREE,L2_DECLAREE,L3_DECLAREE,L4_DECLAREE,L5_DECLAREE,L6_DECLAREE,L7_DECLAREE,NUMVOIE,INDREP,TYPVOIE,LIBVOIE,CODPOS,CEDEX,DEPET,COMET,TCD,SIEGE,ENSEIGNE,IND_PUBLIPO,DIFFCOM,AMINTRET,NATETAB,APET700,DAPET,TEFET,EFETCENT,DEFET,ORIGINE,DCRET,DDEBACT,ACTIVNAT,LIEUACT,ACTISURF,SAISONAT,MODET,PRODET,PRODPART,AUXILT,NOMEN_LONG,SIGLE,NOM,PRENOM,CIVILITE,RNA,NICSIEGE,RPEN,DEPCOMEN,ADR_MAIL,NJ,APEN700,DAPEN,APRM,ESS,DATEESS,TEFEN,EFENCENT,DEFEN,CATEGORIE,DCREN,AMINTREN,MONOACT,MODEN,PRODEN,ESAANN,TCA,ESAAPEN,ESASEC1N,ESASEC2N,ESASEC3N,ESASEC4N,VMAJ,VMAJ1,VMAJ2,VMAJ3,DATEMAJ,longitude,latitude,geo_score,geo_type,geo_adresse,geo_id,geo_ligne
009735721,00012,COPRO IM RES PRES,LES PRES,RESIDENCE,1 BOULEVARD DES ROCHERS,,35500 VITRE,FRANCE,COPRO IM RES PRES,,RESIDENCE LES PRES,1 BD DES ROCHERS,,35500 VITRE,,1,,BD,DES ROCHERS,35500,,35,360,32,1,,0,O,201209,,8110Z,2008,00,0,2014,1,19941225,19941225,NR,99,,P,S,N,,0,COPRO IM RES PRES,,,,,,00012,53,35360,,9110,8110Z,2008,,,,00,0,2014,PME,19941225,201209,1,S,N,,,,,,,,,,,,2010-06-17T00:00:00,-1.205884,48.122613,0.81,housenumber,1 Boulevard des Rochers 35500 Vitré,ADRNIVX_0000000324849506,G
009735838,00014,ASS COPRO SQUARE DES CLOTEAUX,1 A 6,,1 SQUARE DES CLOTEAUX,,35200 RENNES,FRANCE,ASS COPRO SQUARE DES CLOTEAUX,,1 A 6,1 SQ DES CLOTEAUX,,35200 RENNES,,1,,SQ,DES CLOTEAUX,35200,,35,238,71,1,,0,O,201209,,8110Z,2008,00,0,2004,1,19941225,19941225,NR,99,,P,S,N,,0,ASS COPRO SQUARE DES CLOTEAUX,,,,,,00014,53,35238,,9110,8110Z,2008,,,,00,0,2004,,19941225,201209,1,S,N,,,,,,,,,,,,1997-06-18T00:00:00,-1.695032,48.084909,0.83,housenumber,1 Square des Cloteaux 35200 Rennes,ADRNIVX_0000000262224905,G
009735895,00014,COPRO IM R ARGENTRE,13,,11 RUE ALAIN D ARGENTRE,,35370 ARGENTRE DU PLESSIS,FRANCE,COPRO IM R ARGENTRE,,,11 RUE ALAIN D'ARGENTRE 13,,35370 ARGENTRE DU PLESSIS,,11,,RUE,ALAIN D'ARGENTRE 13,35370,,35,006,18,1,,0,O,201209,,8110Z,2008,01,1,2008,1,19941225,19941225,NR,99,,P,S,N,,0,COPRO IM R ARGENTRE,,,,,,00014,53,35006,,9110,8110Z,2008,,,,01,1,2008,PME,19941225,201209,1,S,N,,,,,,,,,,,,2009-04-16T00:00:00,-1.149904,48.056991,0.84,housenumber,11 Rue Alain d'Argentré 35370 Argentré-du-Plessis,ADRNIVX_0000000262276415,G
009735937,00014,COPRO IM EMERAUDE,,,RUE JEAN MARIE DE LA MENNAIS,,35130 LA GUERCHE DE BRETAGNE,FRANCE,COPRO IM EMERAUDE,,,RUE JEAN MARIE LAMENNAIS,,35130 LA GUERCHE DE BRETAGNE,,,,RUE,JEAN MARIE LAMENNAIS,35130,,35,125,18,1,,0,O,201209,,8110Z,2008,00,0,2004,1,19941225,19941225,NR,99,,P,S,N,,0,COPRO IM EMERAUDE,,,,,,00014,53,35125,,9110,8110Z,2008,,,,00,0,2004,,19941225,201209,1,S,N,,,,,,,,,,,,1995-11-24T00:00:00,-1.224625,47.941038,0.85,street,Rue Jean Marie de la Mennais 35130 La Guerche-de-Bretagne,35125_XXXX_2095a4,G
009735952,00013,COPRO IMM LE GALLION,,,7 RUE DE LA PIONNIERE,,35800 DINARD,FRANCE,COPRO IMM LE GALLION,,,7 RUE DE LA PIONNIERE,,35800 DINARD,,7,,RUE,DE LA PIONNIERE,35800,,35,093,22,1,,0,O,201209,,8110Z,2008,01,1,2016,1,19941225,19941225,NR,99,,P,S,N,,0,COPRO IMM LE GALLION,,,,,,00013,53,35093,,9110,8110Z,2008,,,,01,1,2016,PME,19941225,201209,1,S,N,,,,,,,,,,,,2007-06-07T00:00:00,-2.05646,48.634939,0.93,housenumber,7 Rue de la Pionnière 35800 Dinard,ADRNIVX_0000000261876912,G
009736208,00019,COPRO IM PARC DE COULON,,,PARC DE COULON,,35160 MONTFORT SUR MEU,FRANCE,COPRO IM PARC DE COULON,,,PARC DE COULON,,35160 MONTFORT SUR MEU,,,,,PARC DE COULON,35160,,35,188,21,1,,0,O,201209,,8110Z,2008,00,0,2004,1,19941225,19941225,NR,99,,P,S,N,,0,COPRO IM PARC DE COULON,,,,,,00019,53,35188,,9110,8110Z,2008,,,,00,0,2004,,19941225,201209,1,S,N,,,,,,,,,,,,2001-09-05T00:00:00,-1.956028,48.135406,0.61,street,Rue de Coulon 35160 Montfort-sur-Meu,35188_0240_7c589c,G
009736216,00012,COPRO IM RES BELLEVUE,,,RESIDENCE BELLEVUE,BP 53,35160 MONTFORT SUR MEU,FRANCE,COPRO IM RES BELLEVUE,,,RES BELLEVUE,BP 53,35160 MONTFORT SUR MEU,,,,RES,BELLEVUE,35160,,35,188,21,1,,0,O,201209,,8110Z,2008,00,0,2010,1,19941225,19941225,NR,99,,P,S,N,,0,COPRO IM RES BELLEVUE,,,,,,00012,53,35188,,9110,8110Z,2008,,,,00,0,2010,PME,19941225,201209,1,S,N,,,,,,,,,,,,2007-08-20T00:00:00,-1.957158,48.137436,0.36,street,Rue de Belloir 35160 Montfort-sur-Meu,35188_0060_8c5653,G
009736935,00017,COPRO IM ST THOMAS,,,RUE ETIENNE MOREL,,35137 BEDEE,FRANCE,COPRO IM ST THOMAS,,,RUE ETIENNE MOREL,,35137 BEDEE,,,,RUE,ETIENNE MOREL,35137,,35,023,18,1,,0,O,201209,,8110Z,2008,00,0,2004,1,19941225,19941225,NR,99,,P,S,N,,0,COPRO IM ST THOMAS,,,,,,00017,53,35023,,9110,8110Z,2008,,,,00,0,2004,,19941225,201209,1,S,N,,,,,,,,,,,,2002-04-19T00:00:00,-1.949983,48.186743,0,municipality,,35023,
009737123,00019,COPRO IM R DUGUESCLIN,,,2 RUE DU GUESCLIN,,35000 RENNES,FRANCE,COPRO IM R DUGUESCLIN,,,2 RUE DUGUESCLIN,,35000 RENNES,,2,,RUE,DUGUESCLIN,35000,,35,238,71,1,,0,O,201209,,8110Z,2008,01,1,2016,1,19941225,19941225,NR,99,,P,S,N,,0,COPRO IM R DUGUESCLIN,,,,,,00019,53,35238,,9110,8110Z,2008,,,,01,1,2016,PME,19941225,201209,1,S,N,,,,,,,,,,,,2003-03-11T00:00:00,-1.680716,48.111791,0.93,housenumber,2 Rue Duguesclin 35000 Rennes,ADRNIVX_0000000349981332,G
009737149,00014,ASS. COPROPRIETE,,,13 PL SAINT HELIER,,35000 RENNES,,ASS. COPROPRIETE,,,13 PL SAINT HELIER,,35000 RENNES,,13,,PL,SAINT HELIER,35000,,35,238,71,1,,0,O,201209,,8110Z,2008,00,0,2005,1,19941225,19941225,NR,99,,P,S,N,,0,ASS. COPROPRIETE,,,,,,00014,53,35238,,9110,8110Z,2008,,,,00,0,2005,,19941225,201209,1,S,N,,,,,,,,,,,,2008-08-09T00:00:00,-1.671578,48.107331,0.75,housenumber,13 Rue Saint-Hélier 35000 Rennes,ADRNIVX_0000000262185584,G
